Species name,Family,Major group
Crataegus kansuensis,,Angiosperm
Crataegus maximowiczii,,Angiosperm
Crataegus oresbia,,Angiosperm
Crataegus pinnatifida,,Angiosperm
Crataegus pinnatifida var. major,,Angiosperm
Crataegus pinnatifida var. pinnatifida,,Angiosperm
Crataegus pinnatifida var. psilosa,,Angiosperm
Crataegus remotilobata,,Angiosperm
Crataegus sanguinea,,Angiosperm
Crataegus scabrifolia,,Angiosperm
Crataegus shandongensis,,Angiosperm
Crataegus shensiensis,,Angiosperm
Crataegus songarica,,Angiosperm
Crataegus wilsonii,,Angiosperm
Eriobotrya bengalensis var. angustifolia,,Angiosperm
Eriobotrya cavaleriei,,Angiosperm
Eriobotrya deflexa,,Angiosperm
Eriobotrya elliptica,,Angiosperm
Eriobotrya fragrans,,Angiosperm
Eriobotrya fulvicoma,,Angiosperm
Eriobotrya henryi,,Angiosperm
Eriobotrya japonica,,Angiosperm
Eriobotrya malipoensis,,Angiosperm
Eriobotrya obovata,,Angiosperm
Eriobotrya prinoides,,Angiosperm
Eriobotrya salwinensis,,Angiosperm
Eriobotrya seguinii,,Angiosperm
Eriobotrya serrata,,Angiosperm
Eriobotrya tengyuehensis,,Angiosperm
Ficus abelii,,Angiosperm
Ficus altissima,,Angiosperm
Ficus ampelos,,Angiosperm
Ficus annulata,,Angiosperm
Ficus aurantiaca,,Angiosperm
Ficus auriculata,,Angiosperm
Ficus beipeiensis,,Angiosperm
Ficus benguetensis,,Angiosperm
Ficus benjamina,,Angiosperm
Ficus benjamina var. benjamina,,Angiosperm
Ficus benjamina var. nuda,,Angiosperm
Ficus callosa,,Angiosperm
Ficus cardiophylla,,Angiosperm
Ficus carica,,Angiosperm
Ficus caulocarpa,,Angiosperm
Ficus chapaensis,,Angiosperm
Ficus chartacea,,Angiosperm
Ficus chartacea var. chartacea,,Angiosperm
Ficus chartacea var. torulosa,,Angiosperm
Ficus concinna,,Angiosperm
Ficus cumingii,,Angiosperm
Ficus curtipes,,Angiosperm
Ficus cyrtophylla,,Angiosperm
Ficus daimingshanensis,,Angiosperm
Ficus dinganensis,,Angiosperm
Ficus drupacea,,Angiosperm
Ficus drupacea var. drupacea,,Angiosperm
Ficus drupacea var. pubescens,,Angiosperm
Ficus elastica,,Angiosperm
Ficus erecta,,Angiosperm
Ficus esquiroliana,,Angiosperm
Ficus filicauda,,Angiosperm
Ficus filicauda var. filicauda,,Angiosperm
Ficus filicauda var. longipes,,Angiosperm
Ficus fistulosa,,Angiosperm
Ficus formosana,,Angiosperm
Ficus fulva,,Angiosperm
Ficus fusuiensis,,Angiosperm
Ficus gasparriniana,,Angiosperm
Ficus gasparriniana var. esquirolii,,Angiosperm
Ficus gasparriniana var. gasparriniana,,Angiosperm
Ficus gasparriniana var. laceratifolia,,Angiosperm
Ficus geniculata,,Angiosperm
Ficus glaberrima,,Angiosperm
Ficus guangxiensis,,Angiosperm
Ficus guizhouensis,,Angiosperm
Ficus hederacea,,Angiosperm
Ficus henryi,,Angiosperm
Ficus heteromorpha,,Angiosperm
Ficus heterophylla,,Angiosperm
Ficus heteropleura,,Angiosperm
Ficus hirta,,Angiosperm
Ficus hispida,,Angiosperm
Ficus hookeriana,,Angiosperm
Ficus irisana,,Angiosperm
Ficus ischnopoda,,Angiosperm
Ficus kurzii,,Angiosperm
Ficus laevis,,Angiosperm
Ficus langkokensis,,Angiosperm
Ficus maclellandii,,Angiosperm
Ficus microcarpa,,Angiosperm
Ficus napoensis,,Angiosperm
Ficus neriifolia,,Angiosperm
Ficus nervosa,,Angiosperm
Ficus oligodon,,Angiosperm
Ficus orthoneura,,Angiosperm
Ficus ovatifolia,,Angiosperm
Ficus pandurata,,Angiosperm
Ficus pedunculosa,,Angiosperm
Ficus pisocarpa,,Angiosperm
Ficus polynervis,,Angiosperm
Ficus praetermissa,,Angiosperm
Ficus prostrata,,Angiosperm
Ficus pubigera,,Angiosperm
Ficus pubigera var. anserina,,Angiosperm
Ficus pubigera var. maliformis,,Angiosperm
Ficus pubigera var. pubigera,,Angiosperm
Ficus pubigera var. reticulata,,Angiosperm
Ficus pubilimba,,Angiosperm
Ficus pubinervis,,Angiosperm
Ficus pumila,,Angiosperm
Ficus pumila var. awkeotsang,,Angiosperm
Ficus pumila var. pumila,,Angiosperm
Ficus pyriformis,,Angiosperm
Ficus racemosa,,Angiosperm
Ficus racemosa var. miquelli,,Angiosperm
Ficus racemosa var. racemosa,,Angiosperm
Ficus religiosa,,Angiosperm
Ficus ruficaulis,,Angiosperm
Ficus rumphii,,Angiosperm
Ficus ruyuanensis,,Angiosperm
Ficus sagittata,,Angiosperm
Ficus sarmentosa,,Angiosperm
Ficus sarmentosa var. duclouxii,,Angiosperm
Ficus sarmentosa var. henryi,,Angiosperm
Ficus sarmentosa var. impressa,,Angiosperm
Ficus sarmentosa var. lacrymans,,Angiosperm
Ficus sarmentosa var. luducca,,Angiosperm
Ficus sarmentosa var. nipponica,,Angiosperm
Ficus sarmentosa var. sarmentosa,,Angiosperm
Ficus sarmentosa var. thunbergii,,Angiosperm
Ficus semicordata,,Angiosperm
Ficus septica,,Angiosperm
Ficus simplicissima,,Angiosperm
Ficus sinociliata,,Angiosperm
Ficus squamosa,,Angiosperm
Ficus stenophylla,,Angiosperm
Ficus stricta,,Angiosperm
Ficus subgen. Ficus,,Angiosperm
Ficus subgen. Pharmacosycea,,Angiosperm
Ficus subgen. Sycidium,,Angiosperm
Ficus subgen. Sycomorus,,Angiosperm
Ficus subgen. Synoecia,,Angiosperm
Ficus subgen. Urostigma,,Angiosperm
Ficus subincisa,,Angiosperm
Ficus subpisocarpa,,Angiosperm
Ficus subulata,,Angiosperm
Ficus tannoensis,,Angiosperm
Ficus tikoua,,Angiosperm
Ficus tinctoria,,Angiosperm
Ficus tinctoria subsp. gibbosa,,Angiosperm
Ficus tinctoria subsp. swinhoei,,Angiosperm
