Species name,Genus,Major group
Juniperus convallium var. convallium,Juniperus,Angiosperm
Juniperus convallium var. microsperma,Juniperus,Angiosperm
Juniperus davurica,Juniperus,Angiosperm
Juniperus formosana,Juniperus,Angiosperm
Juniperus gaussenii,Juniperus,Angiosperm
Juniperus indica,Juniperus,Angiosperm
Juniperus komarovii,Juniperus,Angiosperm
Juniperus pingii,Juniperus,Angiosperm
Juniperus pingii var. carinata,Juniperus,Angiosperm
Juniperus pingii var. pingii,Juniperus,Angiosperm
Juniperus pingii var. wilsonii,Juniperus,Angiosperm
Juniperus procumbens,Juniperus,Angiosperm
Juniperus przewalskii,Juniperus,Angiosperm
Juniperus pseudosabina,Juniperus,Angiosperm
Juniperus pseudosabina var. pseudosabina,Juniperus,Angiosperm
Juniperus pseudosabina var. takastanica,Juniperus,Angiosperm
Juniperus recurva,Juniperus,Angiosperm
Juniperus recurva var. coxii,Juniperus,Angiosperm
Juniperus recurva var. recurva,Juniperus,Angiosperm
Juniperus rigida,Juniperus,Angiosperm
Juniperus sabina,Juniperus,Angiosperm
Juniperus sabina var. erectopatens,Juniperus,Angiosperm
Juniperus sabina var. sabina,Juniperus,Angiosperm
Juniperus sabina var. yulinensis,Juniperus,Angiosperm
Juniperus saltuaria,Juniperus,Angiosperm
Juniperus semiglobosa,Juniperus,Angiosperm
Juniperus sibirica,Juniperus,Angiosperm
Juniperus squamata,Juniperus,Angiosperm
Juniperus squamata var. fargesii,Juniperus,Angiosperm
Juniperus squamata var. hongxiensis,Juniperus,Angiosperm
Juniperus squamata var. parviflora,Juniperus,Angiosperm
Juniperus squamata var. squamata,Juniperus,Angiosperm
Juniperus tibetica,Juniperus,Angiosperm
Juniperus virginiana,Juniperus,Angiosperm
Ottelia acuminata,Ottelia,Angiosperm
Ottelia acuminata var. acuminata,Ottelia,Angiosperm
Ottelia acuminata var. crispa,Ottelia,Angiosperm
Ottelia acuminata var. jingxiensis,Ottelia,Angiosperm
Ottelia acuminata var. lunanensis,Ottelia,Angiosperm
Ottelia alismoides,Ottelia,Angiosperm
Ottelia balansae,Ottelia,Angiosperm
Ottelia cordata,Ottelia,Angiosperm
Ottelia emersa,Ottelia,Angiosperm
Sagittaria guayanensis subsp. lappula,Sagittaria,Angiosperm
Sagittaria lichuanensis,Sagittaria,Angiosperm
Sagittaria natans,Sagittaria,Angiosperm
Sagittaria potamogetonifolia,Sagittaria,Angiosperm
Sagittaria pygmaea,Sagittaria,Angiosperm
Sagittaria tengtsungensis,Sagittaria,Angiosperm
Sagittaria trifolia,Sagittaria,Angiosperm
Sagittaria trifolia subsp. leucopetala,Sagittaria,Angiosperm
Sagittaria trifolia subsp. trifolia,Sagittaria,Angiosperm
Gnetum catasphaericum,Gnetum,Angiosperm
Gnetum giganteum,Gnetum,Angiosperm
Gnetum gnemon,Gnetum,Angiosperm
Gnetum gracilipes,Gnetum,Angiosperm
Gnetum hainanense,Gnetum,Angiosperm
Gnetum luofuense,Gnetum,Angiosperm
Gnetum montanum,Gnetum,Angiosperm
Gnetum parvifolium,Gnetum,Angiosperm
Gnetum pendulum,Gnetum,Angiosperm
Mangifera indica,Mangifera,Angiosperm
Mangifera laurina,Mangifera,Angiosperm
Mangifera persiciforma,Mangifera,Angiosperm
Mangifera siamensis,Mangifera,Angiosperm
Mangifera sylvatica,Mangifera,Angiosperm
Leucomeris decora,Leucomeris,Angiosperm
"Astragalus ""Caprini group""",Astragalus,Angiosperm
"Astragalus ""Purpurascentes group""",Astragalus,Angiosperm
Astragalus acaulis,Astragalus,Angiosperm
Astragalus acceptus,Astragalus,Angiosperm
Astragalus agrestis,Astragalus,Angiosperm
Astragalus aksuensis,Astragalus,Angiosperm
Astragalus alaschanus,Astragalus,Angiosperm
Astragalus alatavicus,Astragalus,Angiosperm
Astragalus albicans,Astragalus,Angiosperm
Astragalus alopecias,Astragalus,Angiosperm
Astragalus alopecurus,Astragalus,Angiosperm
Astragalus alpinus,Astragalus,Angiosperm
Astragalus altaicola,Astragalus,Angiosperm
Astragalus amabilis,Astragalus,Angiosperm
Astragalus ammodytes,Astragalus,Angiosperm
Astragalus anfractuosus,Astragalus,Angiosperm
Astragalus angustissimus,Astragalus,Angiosperm
Astragalus arbuscula,Astragalus,Angiosperm
Astragalus arcuatus,Astragalus,Angiosperm
Astragalus aridovallicola,Astragalus,Angiosperm
Astragalus arkalycensis,Astragalus,Angiosperm
Astragalus arnoldianus,Astragalus,Angiosperm
Astragalus arnoldii,Astragalus,Angiosperm
Astragalus arpilobus,Astragalus,Angiosperm
Astragalus athranthus,Astragalus,Angiosperm
Astragalus aurantiacus,Astragalus,Angiosperm
Astragalus austrodshungaricus,Astragalus,Angiosperm
Astragalus austrotibetanus,Astragalus,Angiosperm
Astragalus baerlukensis,Astragalus,Angiosperm
Astragalus bahrakianus,Astragalus,Angiosperm
Astragalus baotouensis,Astragalus,Angiosperm
Astragalus basiflorus,Astragalus,Angiosperm
Astragalus batangensis,Astragalus,Angiosperm
Astragalus baxoiensis,Astragalus,Angiosperm
Astragalus beitashanensis,Astragalus,Angiosperm
Astragalus beketowii,Astragalus,Angiosperm
Astragalus bhotanensis,Astragalus,Angiosperm
Astragalus blandulus,Astragalus,Angiosperm
Astragalus borodinii,Astragalus,Angiosperm
Astragalus bouffordii,Astragalus,Angiosperm
