internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
117327226,Geostachys holttumii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Geostachys,holttumii,,,,,K.Larsen,
117327417,Geostachys montana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Geostachys,montana,,,,,(Ridl.) Holttum,
117327601,Geostachys pierreana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Geostachys,pierreana,,,,,Gagnep.,
117327790,Geostachys tratensis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Geostachys,tratensis,,,,,Picheans. &amp; Mayoe,
117348896,Globba arracanensis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Globba,arracanensis,,,,,Kurz,"A taxonomic revision is in preparation. This species is only known from the type collection, which comprises three sheets. The identity of the species is not in doubt. Although it resembles <em>Globba andersonii</em>, there are clear morphological differences between the two species."
117349194,Globba corneri,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Globba,corneri,,,,,A.A.Weber,
117349253,Globba fecunda,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Globba,fecunda,,,,,A.Takano &amp; H.Okada,
117350991,Globba hasseltii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Globba,hasseltii,,,,,Boerl.,
117351292,Globba macrocarpa,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Globba,macrocarpa,,,,,Gagnep.,
117351497,Globba paniculata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Globba,paniculata,,,,,Valeton,
117352611,Globba wengeri,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Globba,wengeri,,,,,(C.E.C.Fisch.) K.J.Williams,
117354333,Haplochorema sumatranum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Haplochorema,sumatranum,,,,,Burkill,
117354519,Hedychium borneense,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Hedychium,borneense,,,,,R.M.Sm.,
117356044,Hedychium intermedium,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Hedychium,intermedium,,,,,Blume,
117360911,Hornstedtia elongata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Hornstedtia,elongata,,,,,(Teijsm. &amp; Binn.) K.Schum.,
117415630,Kaempferia parviflora,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Kaempferia,parviflora,,,,,Wall. ex Baker,
117417125,Plagiostachys oblanceolata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Plagiostachys,oblanceolata,,,,,Gobilik &amp; A.L.Lamb,
117417475,Plagiostachys sumatrensis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Plagiostachys,sumatrensis,,,,,Ridl.,
117417825,Pleuranthodium pelecystylum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Pleuranthodium,pelecystylum,,,,,(K.Schum.) R.M.Sm.,
117430683,Scaphochlamys anomala,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Scaphochlamys,anomala,,,,,(Hallier f.) R.J.Searle,
117456589,Zingiber curtisii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Zingiber,curtisii,,,,,Holttum,
117456661,Zingiber elatius,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Zingiber,elatius,,,,,(Ridl.) Theilade,"There has been taxonomic confusion about the species identity and previous lectotypification by Theilade (1998). The typification was corrected by Leong-Škorničková (2014), and photo of the species from the type locality (Penang Hill) published by Leong-Škorničková <em>et al. </em>(2014). This later interpretation and geographic range is followed in this assessment, restricting the species occurrence to the type locality and, based on Ridley (1899), Maxwell Hill."
117456744,Zingiber gracile,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Zingiber,gracile,,,,,Jack,
117456881,Zingiber inflexum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Zingiber,inflexum,,,,,Blume,
117467812,Zingiber macroglossum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Zingiber,macroglossum,,,,,Valeton,
117467817,Zingiber macrorrhynchus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Zingiber,macrorrhynchus,,,,,K.Schum.,
