internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
62037625,Camellia sinensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Camellia,sinensis,,,,,(L.) Kuntze,
62051146,Camellia cherryana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Camellia,cherryana,,,,,Orel,It is possible that this species is a synonym of <em>Camellia yunnanensis </em>(Yang pers. comm. 2017).
32328,Camellia reticulata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Camellia,reticulata,,,,,Lindley,
62082263,Pyrenaria khasiana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Pyrenaria,khasiana,,,,,R.N.Paul,"In 1979 <em>Pyrenaria khasiana </em>was described by R.N. Paul based on the collections made in 1867-1871 by Kurz from Khasi Hills, Meghalaya.&#160;During botanical exploration (2011–2015) the species was rediscovered and described as a new variety (var. <em>lakhimpurense</em>) (Oduyo and Roy 2017)."
62085559,Stewartia calcicola,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Stewartia,calcicola,,,,,T.L.Ming &amp; J.Li,
62085731,Stewartia densivillosa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Stewartia,densivillosa,,,,,(Hu ex Hung T.Chang &amp; C.X.Ye) J.Li &amp; T.L.Ming,
62086217,Stewartia medogensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Stewartia,medogensis,,,,,J.Li &amp; T.L.Ming,
62085797,Stewartia laotica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Stewartia,laotica,,,,,(Gagnep.) J.Li &amp; T.L.Ming,
31389,Mangifera indica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ANACARDIACEAE,Mangifera,indica,,,,,L.,
78808001,Quercus brevicalyx,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,brevicalyx,,,,,A.Camus,
78920941,Quercus gomeziana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,gomeziana,,,,,A.Camus,
78971025,Quercus pentacycla,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,pentacycla,,,,,Y.T.Chang,
88944775,Magnolia kaifui,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,kaifui,,,,,(Q.W.Zeng &amp; X.M.Hu) C.B.Callaghan &amp; Png,
88944971,Magnolia lawii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MAGNOLIACEAE,Magnolia,lawii,,,,,(N.H.Xia &amp; W.F.Liao) C.B.Callaghan &amp; Png,
96443968,Fraxinus hookeri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,OLEACEAE,Fraxinus,hookeri,,,,,Wenz.,
96444693,Fraxinus trifoliolata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,OLEACEAE,Fraxinus,trifoliolata,,,,,W.W.Sm.,
124102526,Acer anhweiense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Acer,anhweiense,,,,,W.P.Fang &amp; M.Y.Fang,"In the Flora of China <em>A. robustum </em>and <em>A. anhweiense </em>are both synonyms of <em>A. ceriferum</em>. In Chang and Woo (2011), they consider <em>A. anhweiense </em>as the correct name for the taxon and the species being distinct from <em>A. ceriferum </em>(now treated as <em>A. duplicatoserratum</em>)."
130687833,Quercus chapensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,FAGACEAE,Quercus,chapensis,,,,,Hickel &amp; A.Camus,
202209,Amomum glabrum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Amomum,glabrum,,,,,S.Q.Tong,
202222,Amomum sericeum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Amomum,sericeum,,,,,Roxb.,This is a species complex and is not well typified.
107250858,Utricularia forrestii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LENTIBULARIACEAE,Utricularia,forrestii,,,,,P.Taylor,
151346541,Ilex bidens,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,bidens,,,,,C.Y.Wu ex Y.R.Li,
150212071,Mallotus oreophilus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Mallotus,oreophilus,,,,,Müll.Arg.,
191449,Acer pinnatinervium,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Acer,pinnatinervium,,,,,Merr.,"In Maples of the World this species is treated as a synonym of <em>Acer laurinum</em>. Harris <em>et al. </em>(2017) suggests that further work may be required to establish if <em>Acer laurinum </em>and <em>Acer pinnatinervium </em>are distinct. However, in the Flora of&#160;China <em>Acer pinnatinervium </em>is treated as a distinct species and this taxonomy is followed for the assessment."
171980721,Dalbergia burmanica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Dalbergia,burmanica,,,,,Prain,
62033755,Camellia leptophylla,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Camellia,leptophylla,,,,,S.Yun Liang ex H.T.Chang,
61855279,Malus toringo,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Malus,toringo,,,,,(Siebold) Siebold ex de Vriese,<em>Malus toringo</em> (Siebold) Siebold ex de Vriese belongs to the secondary Gene Pool of <em>M. domestica</em> Borkh.
172349702,Dalbergia polyadelpha,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Dalbergia,polyadelpha,,,,,Prain,
180371657,Styrax buchananii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,STYRACACEAE,Styrax,buchananii,,,,,W.W.Sm.,
180629851,Polyalthiopsis chinensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Polyalthiopsis,chinensis,,,,,(S.K.Wu &amp; P.T.Li) B.Xue &amp; Y.H.Tan,
175802716,Symplocos spectabilis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SYMPLOCACEAE,Symplocos,spectabilis,,,,,Brand,
